,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,impression_count,like_count,quote_count,reply_count,retweet_count,dia,mes,año
0,1151510939105144834,2022-12-29 16:39:19+00:00,['1608502937332113408'],1608502937332113408,"{'impression_count': 113, 'like_count': 4, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 1}",empieza año formándote profesiones 𝗱𝗲𝗺𝗮𝗻𝗱𝗮 𝗹𝗮𝗯𝗼𝗿𝗮𝗹 ⚠ toma riendas vente / open day contaremos bootcamps cambiarán vida thebridge_tech 🤯 s///rnacifuzc,113,4,0,0,1,29,12,2022
1,570795448,2022-12-29 12:52:11+00:00,['1608445776732246017'],1608445776732246017,"{'impression_count': 124, 'like_count': 2, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",bootcamps tecnológicos edem thebridge_tech empleos demandados 🔝 ▶ data science ▶ desarrollo web full stack ▶ ux/ui product design ▶ ciberseguridad info ⬇ s///hxdfjnlkpl,124,2,0,0,0,29,12,2022
2,1128860148,2022-12-29 09:16:11+00:00,['1608391421014196224'],1608391421014196224,"{'impression_count': 49, 'like_count': 2, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",edemempresarios acoge enero open day participan responsables thebridge_tech edemempresarios presentar bootcamps acercarán alumnos profesiones alta demanda s///iczcilvwbo,49,2,0,0,0,29,12,2022
3,570795448,2022-12-27 09:00:57+00:00,['1607662809575292929'],1607662809575292929,"{'impression_count': 218, 'like_count': 5, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",estás buscando profesión cambie vida acércate open day presentaremos alianza #edempoweredbythebridge thebridge_tech serie bootcamps desarrollo digital tecnológico s///nxrixndjad s///bmksvtzc,218,5,0,0,0,27,12,2022
4,1162694149956603904,2022-12-23 12:54:06+00:00,['1606271930763354112'],1606271930763354112,"{'impression_count': 120, 'like_count': 1, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 1}",thebridge_tech deseo ti💫 ¡qué venga cargado éxitos ¡felices fiestas🎄 #christmastime #felicesfiestas #navidad #bye s///jfeimijbh,120,1,0,0,1,23,12,2022
5,799935450844631040,2022-12-22 23:51:18+00:00,['1606074933033009152'],1606074933033009152,"{'impression_count': 108, 'like_count': 3, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",edemempresarios thebridge_tech alían impartir bootcamps desarrollo digital tecnológico valencia marina_empresas ☛ s///lzsetssvm #mediterráneopress #tudiariodigital #comunitatvalenciana #política #economía #empresa #turismo vía mediterrneopress,108,3,0,0,0,22,12,2022
6,921670812637257728,2022-12-22 09:59:38+00:00,['1605865639213670400'],1605865639213670400,"{'impression_count': 142, 'like_count': 2, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",📚 formación edemempresarios aceleradora talento digital thebridge_tech unen impartir #bootcamps tecnológicos objetivo reducir brecha digital potenciar formación competencias digitales tecnológicas 📪 valenciaplaza s///ceeiottil,142,2,0,0,0,22,12,2022
7,1162694149956603904,2022-12-22 08:55:25+00:00,['1605849476895162368'],1605849476895162368,"{'impression_count': 308, 'like_count': 4, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 4}",¡ven #opendayvalencia conoce #bootcamps edemempresarios thebridge_tech fórmate #uxuiproductdesign #ciberseguridad #desarrollowebfullstack #datascience🚀 📅 ene ⏰ h 📍 edem marina valencia apúntate 👉s///ckvqsgh s///vhcqbtrf,308,4,0,0,4,22,12,2022
8,1175646685,2022-12-21 13:15:56+00:00,['1605552650119847938'],1605552650119847938,"{'impression_count': 321, 'like_count': 7, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 1}",edem the bridge alían impartir bootcamps desarrollo digital tecnológico valencia s///ixzypccy edemempresarios marina_empresas thebridge_tech #bootcampsdedesarrollodigitalytecnológico,321,7,0,0,1,21,12,2022
9,402013017,2022-12-21 12:30:01+00:00,['1605541094397198336'],1605541094397198336,"{'impression_count': 538, 'like_count': 5, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 2}",💻 edemempresarios thebridge_tech alían impartir bootcamps desarrollo digital tecnológico valència s///mvuwgmqo,538,5,0,0,2,21,12,2022
